iteration,accuracy_training,acc_validation,model_architecture,batch_size,nb_epoch,lr,dropout,eval_time
1,0.9964,0.9912,"{'mlp_2_nb_filters_or_neurons_0': 256, 'mlp_2_nb_filters_or_neurons_1': 512, 'nber_layers': 2}",64,300,0.003028392792804104,0.049286245965570574,42 1069.397
2,0.9740458502056564,0.9669684989159546,"{'mlp_4_nb_filters_or_neurons_0': 512, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 256, 'mlp_4_nb_filters_or_neurons_3': 512, 'nber_layers': 4}",64,300,0.0054782667901790575,0.03415286076534018,42 1356.686
3,0.994,0.9887,"{'mlp_5_nb_filters_or_neurons_0': 256, 'mlp_5_nb_filters_or_neurons_1': 256, 'mlp_5_nb_filters_or_neurons_2': 256, 'mlp_5_nb_filters_or_neurons_3': 256, 'mlp_5_nb_filters_or_neurons_4': 512, 'nber_layers': 5}",64,300,0.002156237633574097,0.012104760241157059,42 1478.041
4,0.9802633676625323,0.9761510011478127,"{'mlp_4_nb_filters_or_neurons_0': 256, 'mlp_4_nb_filters_or_neurons_1': 256, 'mlp_4_nb_filters_or_neurons_2': 256, 'mlp_4_nb_filters_or_neurons_3': 512, 'nber_layers': 4}",128,300,0.005023272557951125,0.04846111351344797,42 763.685
5,0.9846,0.9803,"{'mlp_2_nb_filters_or_neurons_0': 512, 'mlp_2_nb_filters_or_neurons_1': 512, 'nber_layers': 2}",64,300,0.00889528542120993,0.04863935198038238,42 1129.583
6,0.9978,0.9929,"{'mlp_4_nb_filters_or_neurons_0': 512, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 256, 'mlp_4_nb_filters_or_neurons_3': 256, 'nber_layers': 4}",128,300,0.001120532022229607,0.013628238634878173,42 780.838
7,0.9972,0.9929,"{'mlp_3_nb_filters_or_neurons_0': 256, 'mlp_3_nb_filters_or_neurons_1': 256, 'mlp_3_nb_filters_or_neurons_2': 512, 'nber_layers': 3}",128,300,0.001749842512160181,0.01041933036371105,42 717.213
8,0.9975,0.9938,"{'mlp_5_nb_filters_or_neurons_0': 512, 'mlp_5_nb_filters_or_neurons_1': 512, 'mlp_5_nb_filters_or_neurons_2': 512, 'mlp_5_nb_filters_or_neurons_3': 512, 'mlp_5_nb_filters_or_neurons_4': 512, 'nber_layers': 5}",64,300,0.0010509092067518,0.0241788826117504,42 1555.706
9,0.9975,0.9936,"{'mlp_4_nb_filters_or_neurons_0': 256, 'mlp_4_nb_filters_or_neurons_1': 512, 'mlp_4_nb_filters_or_neurons_2': 512, 'mlp_4_nb_filters_or_neurons_3': 256, 'nber_layers': 4}",128,300,0.0018578365575687044,0.012163097599465914,42 799.072
10,0.9814749864490004,0.9750031883688305,"{'mlp_3_nb_filters_or_neurons_0': 512, 'mlp_3_nb_filters_or_neurons_1': 512, 'mlp_3_nb_filters_or_neurons_2': 256, 'nber_layers': 3}",64,300,0.006588461716958191,0.03807294867822236,42 1322.36
11,0.9975,0.9933,"{'mlp_3_nb_filters_or_neurons_0': 256, 'mlp_3_nb_filters_or_neurons_1': 512, 'mlp_3_nb_filters_or_neurons_2': 256, 'nber_layers': 3}",64,300,0.00021670940519047548,0.03169085715112989,42 1331.229
12,0.9728342314191882,0.9663308251498534,"{'mlp_5_nb_filters_or_neurons_0': 256, 'mlp_5_nb_filters_or_neurons_1': 512, 'mlp_5_nb_filters_or_neurons_2': 512, 'mlp_5_nb_filters_or_neurons_3': 256, 'mlp_5_nb_filters_or_neurons_4': 512, 'nber_layers': 5}",128,300,0.004855007755097489,0.03881525623811498,42 904.23
13,0.9787010171220866,0.9707945415125622,"{'mlp_3_nb_filters_or_neurons_0': 512, 'mlp_3_nb_filters_or_neurons_1': 512, 'mlp_3_nb_filters_or_neurons_2': 256, 'nber_layers': 3}",64,300,0.007104289295717922,0.018070576660425254,42 1377.19
