,compound,crystal structure type,target,IP(A),IP(B),IP(C),EA(A),EA(B),EA(C),Eh(A),Eh(B),Eh(C),El(A),El(B),El(C),rs(A),rs(B),rs(C),rp(A),rp(B),rp(C),rd(A),rd(B),rd(C),Z(A),Z(B),Z(C),coord_0,coord_1
0,Al_As_F,hexagonal,trivial insulator,-5.7109,-8.9924,-19.2311,0.0405,-1.5202,-4.0664,-2.7067,-5.1007,-11.0912,3.1168,4.0412,1.7177,1.1043,0.8558,0.4044,1.3965,1.0507,0.374,1.7101,0.2524,1.0655,13,33,9,272.1,-40.147
1,Al_P_F,hexagonal,trivial insulator,-5.7109,-9.6747,-19.2311,0.0405,-1.5811,-4.0664,-2.7067,-5.4891,-11.0912,3.1168,4.1935,1.7177,1.1043,0.8336,0.4044,1.3965,0.9712,0.374,1.7101,1.4172,1.0655,13,15,9,171.33,-45.707
2,Al_Sb_F,hexagonal,trivial insulator,-5.7109,-8.0367,-19.2311,0.0405,-1.3698,-4.0664,-2.7067,-4.6012,-11.0912,3.1168,4.276,1.7177,1.1043,1.0035,0.4044,1.3965,1.24,0.374,1.7101,0.4483,1.0655,13,51,9,375.49,-32.358
3,B_As_F,hexagonal,trivial insulator,-8.1249,-8.9924,-19.2311,0.0319,-1.5202,-4.0664,-3.6057,-5.1007,-11.0912,2.4537,4.0412,1.7177,0.8025,0.8558,0.4044,0.8348,1.0507,0.374,1.3619,0.2524,1.0655,5,33,9,224.78,-55.245
4,B_Sb_F,hexagonal,trivial insulator,-8.1249,-8.0367,-19.2311,0.0319,-1.3698,-4.0664,-3.6057,-4.6012,-11.0912,2.4537,4.276,1.7177,0.8025,1.0035,0.4044,0.8348,1.24,0.374,1.3619,0.4483,1.0655,5,51,9,328.56,-44.527
5,Cd_O_F,hexagonal,trivial insulator,-9.2604,-16.2932,-19.2311,1.4516,-2.8068,-4.0664,-5.657,-9.019,-11.0912,-1.1292,3.0142,1.7177,1.2355,0.4608,0.4044,1.804,0.4333,0.374,0.5192,1.075,1.0655,48,8,9,325.07,-89.065
6,Cd_S_F,hexagonal,trivial insulator,-9.2604,-11.6948,-19.2311,1.4516,-2.5741,-4.0664,-5.657,-6.981,-11.0912,-1.1292,4.6386,1.7177,1.2355,0.7473,0.4044,1.804,0.8493,0.374,0.5192,1.3934,1.0655,48,16,9,290.77,-55.571
7,Cd_Se_F,hexagonal,trivial insulator,-9.2604,-10.652,-19.2311,1.4516,-2.4179,-4.0664,-5.657,-6.3811,-11.0912,-1.1292,4.5507,1.7177,1.2355,0.7997,0.4044,1.804,0.9578,0.374,0.5192,0.2397,1.0655,48,34,9,361.25,-47.973
8,Cd_Te_F,hexagonal,trivial insulator,-9.2604,-9.3677,-19.2311,1.4516,-2.1853,-4.0664,-5.657,-5.6565,-11.0912,-1.1292,3.4793,1.7177,1.2355,0.9497,0.4044,1.804,1.1492,0.374,0.5192,0.4293,1.0655,48,52,9,428.67,-38.617
9,Ga_As_F,hexagonal,trivial insulator,-5.7265,-8.9924,-19.2311,0.0668,-1.5202,-4.0664,-2.6553,-5.1007,-11.0912,-2.5397,4.0412,1.7177,1.0027,0.8558,0.4044,1.344,1.0507,0.374,0.2823,0.2524,1.0655,31,33,9,378.58,-44.215
10,Ga_N_F,hexagonal,trivial insulator,-5.7265,-13.4588,-19.2311,0.0668,-1.6717,-4.0664,-2.6553,-7.0838,-11.0912,-2.5397,4.1488,1.7177,1.0027,0.5361,0.4044,1.344,0.5154,0.374,0.2823,1.214,1.0655,31,7,9,305.94,-84.306
11,Ga_P_F,hexagonal,trivial insulator,-5.7265,-9.6747,-19.2311,0.0668,-1.5811,-4.0664,-2.6553,-5.4891,-11.0912,-2.5397,4.1935,1.7177,1.0027,0.8336,0.4044,1.344,0.9712,0.374,0.2823,1.4172,1.0655,31,15,9,281.47,-50.339
12,Hg_O_F,hexagonal,trivial insulator,-10.719,-16.2932,-19.2311,1.2734,-2.8068,-4.0664,-6.808,-9.019,-11.0912,-1.369,3.0142,1.7177,1.1675,0.4608,0.4044,1.8734,0.4333,0.374,0.6158,1.075,1.0655,80,8,9,510.83,-94.252
13,Hg_Se_F,hexagonal,trivial insulator,-10.719,-10.652,-19.2311,1.2734,-2.4179,-4.0664,-6.808,-6.3811,-11.0912,-1.369,4.5507,1.7177,1.1675,0.7997,0.4044,1.8734,0.9578,0.374,0.6158,0.2397,1.0655,80,34,9,502.22,-50.767
14,Hg_Te_F,hexagonal,trivial insulator,-10.719,-9.3677,-19.2311,1.2734,-2.1853,-4.0664,-6.808,-5.6565,-11.0912,-1.369,3.4793,1.7177,1.1675,0.9497,0.4044,1.8734,1.1492,0.374,0.6158,0.4293,1.0655,80,52,9,565.84,-40.867
15,In_As_F,hexagonal,trivial insulator,-5.5634,-8.9924,-19.2311,-0.1615,-1.5202,-4.0664,-2.7148,-5.1007,-11.0912,-2.4096,4.0412,1.7177,1.1407,0.8558,0.4044,1.5133,1.0507,0.374,0.4929,0.2524,1.0655,49,33,9,485.05,-38.866
16,In_N_F,hexagonal,trivial insulator,-5.5634,-13.4588,-19.2311,-0.1615,-1.6717,-4.0664,-2.7148,-7.0838,-11.0912,-2.4096,4.1488,1.7177,1.1407,0.5361,0.4044,1.5133,0.5154,0.374,0.4929,1.214,1.0655,49,7,9,450.85,-74.107
17,In_P_F,hexagonal,trivial insulator,-5.5634,-9.6747,-19.2311,-0.1615,-1.5811,-4.0664,-2.7148,-5.4891,-11.0912,-2.4096,4.1935,1.7177,1.1407,0.8336,0.4044,1.5133,0.9712,0.374,0.4929,1.4172,1.0655,49,15,9,391.61,-44.249
18,Si_Ge_F,hexagonal,trivial insulator,-7.674,-7.5349,-19.2311,-0.7975,-0.658,-4.0664,-4.0707,-4.0179,-11.0912,3.7258,-3.8308,1.7177,0.9466,0.922,0.4044,1.1405,1.1721,0.374,1.1619,0.2666,1.0655,14,32,9,526.76,-32.977
19,Si_Si_F,hexagonal,trivial insulator,-7.674,-7.674,-19.2311,-0.7975,-0.7975,-4.0664,-4.0707,-4.0707,-11.0912,3.7258,3.7258,1.7177,0.9466,0.9466,0.4044,1.1405,1.1405,0.374,1.1619,1.1619,1.0655,14,14,9,269.43,-34.3
20,Si_Sn_F,hexagonal,trivial insulator,-7.674,-7.1531,-19.2311,-0.7975,-0.6953,-4.0664,-4.0707,-3.9778,-11.0912,3.7258,-3.5282,1.7177,0.9466,1.066,0.4044,1.1405,1.3554,0.374,1.1619,0.4694,1.0655,14,50,9,658.42,-29.347
21,Zn_O_F,hexagonal,trivial insulator,-9.8943,-16.2932,-19.2311,1.933,-2.8068,-4.0664,-5.9772,-9.019,-11.0912,-0.8596,3.0142,1.7177,1.1068,0.4608,0.4044,1.6435,0.4333,0.374,0.2997,1.075,1.0655,30,8,9,220.59,-99.421
22,Zn_S_F,hexagonal,trivial insulator,-9.8943,-11.6948,-19.2311,1.933,-2.5741,-4.0664,-5.9772,-6.981,-11.0912,-0.8596,4.6386,1.7177,1.1068,0.7473,0.4044,1.6435,0.8493,0.374,0.2997,1.3934,1.0655,30,16,9,208.99,-62.032
23,Zn_Se_F,hexagonal,trivial insulator,-9.8943,-10.652,-19.2311,1.933,-2.4179,-4.0664,-5.9772,-6.3811,-11.0912,-0.8596,4.5507,1.7177,1.1068,0.7997,0.4044,1.6435,0.9578,0.374,0.2997,0.2397,1.0655,30,34,9,281.95,-53.551
24,Zn_Te_F,hexagonal,trivial insulator,-9.8943,-9.3677,-19.2311,1.933,-2.1853,-4.0664,-5.9772,-5.6565,-11.0912,-0.8596,3.4793,1.7177,1.1068,0.9497,0.4044,1.6435,1.1492,0.374,0.2997,0.4293,1.0655,30,52,9,351.51,-43.108
25,C_Sn_F,hexagonal,trivial insulator,-10.7378,-7.1531,-19.2311,-0.7084,-0.6953,-4.0664,-5.2827,-3.9778,-11.0912,3.7441,-3.5282,1.7177,0.6418,1.066,0.4044,0.6367,1.3554,0.374,1.1355,0.4694,1.0655,6,50,9,576.12,-43.285
26,Al_As_Cl,hexagonal,trivial insulator,-5.7109,-8.9924,-13.783,0.0405,-1.5202,-3.6491,-2.7067,-5.1007,-8.554,3.1168,4.0412,4.9235,1.1043,0.8558,0.6785,1.3965,1.0507,0.7567,1.7101,0.2524,1.3489,13,33,17,272.1,-82.257
27,Al_P_Cl,hexagonal,trivial insulator,-5.7109,-9.6747,-13.783,0.0405,-1.5811,-3.6491,-2.7067,-5.4891,-8.554,3.1168,4.1935,4.9235,1.1043,0.8336,0.6785,1.3965,0.9712,0.7567,1.7101,1.4172,1.3489,13,15,17,171.33,-92.76
